date,serial_number,model,capacity_bytes,failure,smart_1_normalized,smart_1_raw,smart_2_normalized,smart_2_raw,smart_3_normalized,smart_3_raw,smart_4_normalized,smart_4_raw,smart_5_normalized,smart_5_raw,smart_7_normalized,smart_7_raw,smart_8_normalized,smart_8_raw,smart_9_normalized,smart_9_raw,smart_10_normalized,smart_10_raw,smart_11_normalized,smart_11_raw,smart_12_normalized,smart_12_raw,smart_13_normalized,smart_13_raw,smart_15_normalized,smart_15_raw,smart_22_normalized,smart_22_raw,smart_183_normalized,smart_183_raw,smart_184_normalized,smart_184_raw,smart_187_normalized,smart_187_raw,smart_188_normalized,smart_188_raw,smart_189_normalized,smart_189_raw,smart_190_normalized,smart_190_raw,smart_191_normalized,smart_191_raw,smart_192_normalized,smart_192_raw,smart_193_normalized,smart_193_raw,smart_194_normalized,smart_194_raw,smart_195_normalized,smart_195_raw,smart_196_normalized,smart_196_raw,smart_197_normalized,smart_197_raw,smart_198_normalized,smart_198_raw,smart_199_normalized,smart_199_raw,smart_200_normalized,smart_200_raw,smart_201_normalized,smart_201_raw,smart_220_normalized,smart_220_raw,smart_222_normalized,smart_222_raw,smart_223_normalized,smart_223_raw,smart_224_normalized,smart_224_raw,smart_225_normalized,smart_225_raw,smart_226_normalized,smart_226_raw,smart_240_normalized,smart_240_raw,smart_241_normalized,smart_241_raw,smart_242_normalized,smart_242_raw,smart_250_normalized,smart_250_raw,smart_251_normalized,smart_251_raw,smart_252_normalized,smart_252_raw,smart_254_normalized,smart_254_raw,smart_255_normalized,smart_255_raw
2016-01-01,MJ0351YNG9Z0XA,Hitachi HDS5C3030ALA630,1.4824899095664e-311,0,100,0,135.0,108.0,143,540,100,14,100,0,100,0.0,122.0,37.0,97,27929,100,0,,,100,14,,,,,,,,,,,,,,0.0,,,,,,,100.0,216.0,100.0,216.0,253.0,20.0,,,100.0,0.0,100,0,100,0,200,0,,,,,,,,,,,,,,,,,,0.0,,0.0,,0.0,,,,,,,,,,
2016-01-01,Z305B2QN,ST4000DM000,1.976651427858e-311,0,113,54551400,,,96,0,100,4,100,0,63,1.2798e-317,,,100,411,100,0,,,100,4,,,,,,,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,70.0,30.0,100.0,0.0,100.0,0.0,92.0,16090.0,30.0,30.0,,,,,100,0,100,0,200,0,,,,,,,,,,,,,,,,,100.0,1.32e-321,100.0,3.46796301e-315,100.0,1.316881624e-315,,,,,,,,,,
2016-01-01,MJ0351YNG9Z7LA,Hitachi HDS5C3030ALA630,1.4824899095664e-311,0,100,0,136.0,104.0,124,566,100,19,100,0,100,0.0,122.0,37.0,97,27492,100,0,,,100,18,,,,,,,,,,,,,,0.0,,,,,,,100.0,213.0,100.0,213.0,250.0,24.0,,,100.0,0.0,100,0,100,0,200,0,,,,,,,,,,,,,,,,,,0.0,,0.0,,0.0,,,,,,,,,,
2016-01-01,MJ0351YNGABYAA,Hitachi HDS5C3030ALA630,1.4824899095664e-311,0,100,0,136.0,104.0,137,507,100,15,100,0,100,0.0,122.0,37.0,97,26640,100,0,,,100,15,,,,,,,,,,,,,,0.0,,,,,,,100.0,241.0,100.0,241.0,193.0,31.0,,,100.0,0.0,100,0,100,0,200,0,,,,,,,,,,,,,,,,,,0.0,,0.0,,0.0,,,,,,,,,,
2016-01-01,WD-WMC4N2899475,WDC WD30EFRX,1.4824899095664e-311,0,200,0,,,175,6250,100,10,200,0,100,0.0,,,84,12198,100,0,100.0,0.0,100,10,,,,,,,,,,,,,,0.0,,,,,,,200.0,3.0,200.0,361.0,121.0,29.0,,,200.0,0.0,200,0,100,0,200,0,100.0,0.0,,,,,,,,,,,,,,,,0.0,,0.0,,0.0,,,,,,,,,,
2016-01-01,PL1321LAG34XWH,Hitachi HDS5C4040ALE630,1.976651427858e-311,0,100,0,134.0,101.0,131,514,100,29,100,0,100,0.0,113.0,42.0,97,24589,100,0,,,100,29,,,,,,,,,,,,,,0.0,,,,,,,100.0,40.0,100.0,40.0,222.0,27.0,,,100.0,0.0,100,0,100,0,200,0,,,,,,,,,,,,,,,,,,0.0,,0.0,,0.0,,,,,,,,,,
2016-01-01,MJ1323YNG1TJ7C,Hitachi HDS5C3030ALA630,1.4824899095664e-311,0,100,0,100.0,0.0,122,575,100,16,100,0,100,0.0,100.0,0.0,95,37396,100,0,,,100,16,,,,,,,,,,,,,,0.0,,,,,,,99.0,1370.0,99.0,1370.0,253.0,22.0,,,100.0,0.0,100,0,100,0,200,0,,,,,,,,,,,,,,,,,,0.0,,0.0,,0.0,,,,,,,,,,
2016-01-01,S300Z6K9,ST4000DM000,1.976651427858e-311,0,107,13985080,,,97,0,100,3,100,0,83,1.01727805e-315,,,94,5506,100,0,,,100,3,,,,,,,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,74.0,26.0,100.0,0.0,100.0,0.0,85.0,31005.0,26.0,26.0,,,,,100,0,100,0,200,0,,,,,,,,,,,,,,,,,100.0,2.656e-320,100.0,1.12366241523e-313,100.0,1.761059118e-314,,,,,,,,,,
2016-01-01,S300Z6K8,ST4000DM000,1.976651427858e-311,0,116,109242152,,,97,0,100,3,100,0,81,7.26655675e-316,,,96,4016,100,0,,,100,3,,,,,,,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,73.0,27.0,100.0,0.0,100.0,0.0,81.0,38958.0,27.0,27.0,,,,,100,0,100,0,200,0,,,,,,,,,,,,,,,,,100.0,1.83e-320,100.0,9.0290576737e-314,100.0,2.55173238e-314,,,,,,,,,,
2016-01-01,Z302PGH8,ST4000DM000,1.976651427858e-311,0,112,46112000,,,92,0,100,16,100,0,84,1.488203437e-315,,,95,5130,100,0,,,100,16,,,,,,,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,80.0,20.0,100.0,0.0,100.0,2.0,100.0,203.0,20.0,20.0,,,,,100,0,100,0,200,0,,,,,,,,,,,,,,,,,100.0,2.5336e-320,100.0,5.8561054693e-314,100.0,2.3569219648e-313,,,,,,,,,,
